;link;id;Landscape;Portrait;Documentary;Other (photo) with description;Text;Other (picture) with description;Directly related;Indirectly related;Positiv;Negative;Likeseeker;refugees help;meeting refugees;sea crossing;public demonstration;refugees documentary;konferenz;opinion;ref. Lager;humnanism;others;;;;
95579;https://www.instagram.com/p/wB1zp6NxbQ/;865209249590351568_47598524;;;;;;;;;;;;;;;;;;;;;;;;;
38282;https://www.instagram.com/p/8fmkQFqE9h/;1089759251790319457_2013127578;;;;;;;;;;;;;;;;;;;;;;;;;
48864;https://www.instagram.com/p/70AQ1ThYiE/;1077487367595853956_1728905353;;;;;;;;;;;;;;;;;;;;;;;;;
59185;https://www.instagram.com/p/7bKnlxvKwk/;1070496037518224420_1182038882;;;;;;;;;;;;;;;;;;;;;;;;;
119853;https://www.instagram.com/p/9CNRXPp4uf/;1099499626826271647_272727529;;;;;;;;;;;;;;;;;;;;;;;;;
137022;https://www.instagram.com/p/7PppYotPrT/;1067254800568351443_1010498389;;;;;;;;;;;;;;;;;;;;;;;;;
9576;https://www.instagram.com/p/-rwqqeNyE6/;1129210169641083194_291878527;;;;;;;;;;;;;;;;;;;;;;;;;
120088;https://www.instagram.com/p/834MzyHY2V/;1096592205127978389_2218971890;;;;;;;;;;;;;;;;;;;;;;;;;
47732;https://www.instagram.com/p/73IjhynrUw/;1078368261615039792_208216964;;;;;;;;;;;;;;;;;;;;;;;;;
22265;https://www.instagram.com/p/-EN31mvgYD/;1118079619228894723_32173968;;;;;;;;;;;;;;;;;;;;;;;;;
56337;https://www.instagram.com/p/7h2argwtrW/;1072377514229422806_1334254277;;;;;;;;;;;;;;;;;;;;;;;;;
122100;https://www.instagram.com/p/8Dcz4gkrnZ/;1081835046170704345_997761197;;;;;;;;;;;;;;;;;;;;;;;;;
40582;https://www.instagram.com/p/8UR15bkd9F/;1086571880691916613_5756142;;;;;;;;;;;;;;;;;;;;;;;;;
77613;https://www.instagram.com/p/5xC_rsxrTG/;1040626161241470150_675504524;;;;;;;;;;;;;;;;;;;;;;;;;
57539;https://www.instagram.com/p/7fLCSIlgLE/;1071623771759444676_1790626407;;;;;;;;;;;;;;;;;;;;;;;;;
59517;https://www.instagram.com/p/7attr9xg4t/;1070368913130655277_270844482;;;;;;;;;;;;;;;;;;;;;;;;;
31248;https://www.instagram.com/p/9Lq-Myu2Ms/;1102163526119285548_638533799;;;;;;;;;;;;;;;;;;;;;;;;;
55613;https://www.instagram.com/p/7idCoNskfk/;1072547385234835428_1343288216;;;;;;;;;;;;;;;;;;;;;;;;;
117328;https://www.instagram.com/p/-SNMyRBqFj/;1122017310379778403_30075423;;;;;;;;;;;;;;;;;;;;;;;;;
139872;https://www.instagram.com/p/tvHbXZRwk9/;823909923703687485_30399545;;;;;;;;;;;;;;;;;;;;;;;;;
116656;https://www.instagram.com/p/-pKYogNxAs/;1128478854855725100_336648523;;;;;;;;;;;;;;;;;;;;;;;;;
40536;https://www.instagram.com/p/8UyGkovV2J/;1086713764083752329_1385088926;;;;;;;;;;;;;;;;;;;;;;;;;
35482;https://www.instagram.com/p/8wK-SfmJw7/;1094422970381147195_1469161574;;;;;;;;;;;;;;;;;;;;;;;;;
2975;https://www.instagram.com/p/_MN28lsCEA/;1138345756331090176_11573079;;;;;;;;;;;;;;;;;;;;;;;;;
52222;https://www.instagram.com/p/7qdaBNBmM9/;1074800792428766013_498965407;;;;;;;;;;;;;;;;;;;;;;;;;
59925;https://www.instagram.com/p/7aIw1fHXGV/;1070206401791226261_541111883;;;;;;;;;;;;;;;;;;;;;;;;;
117951;https://www.instagram.com/p/-EMSEEA0kq/;1118072625365731626_226340209;;;;;;;;;;;;;;;;;;;;;;;;;
123741;https://www.instagram.com/p/7mcz54HYGH/;1073672273314808199_2165761887;;;;;;;;;;;;;;;;;;;;;;;;;
40016;https://www.instagram.com/p/8XjmEkrWXI/;1087494382911579592_19172904;;;;;;;;;;;;;;;;;;;;;;;;;
123559;https://www.instagram.com/p/7pnFVayrf4/;1074561876513961976_254229780;;;;;;;;;;;;;;;;;;;;;;;;;
55838;https://www.instagram.com/p/7iQsjmrsK1/;1072493091898704565_2175987991;;;;;;;;;;;;;;;;;;;;;;;;;
2889;https://www.instagram.com/p/_Mdk71A004/;1138414887308053816_183180210;;;;;;;;;;;;;;;;;;;;;;;;;
2948;https://www.instagram.com/p/_MT6ZaEH4k/;1138372381712088612_1736776054;;;;;;;;;;;;;;;;;;;;;;;;;
90719;https://www.instagram.com/p/zh5RI_Kjq0/;928274864746937012_1388007701;;;;;;;;;;;;;;;;;;;;;;;;;
53590;https://www.instagram.com/p/7nPj76sPMc/;1073895476365947676_246168131;;;;;;;;;;;;;;;;;;;;;;;;;
41303;https://www.instagram.com/p/8Q03VUSOGv/;1085600011074986415_25369663;;;;;;;;;;;;;;;;;;;;;;;;;
118619;https://www.instagram.com/p/9s-nk1hYGw/;1111538606549598640_1327210351;;;;;;;;;;;;;;;;;;;;;;;;;
82405;https://www.instagram.com/p/3_XKfZu2OM/;1008626717536510860_638533799;;;;;;;;;;;;;;;;;;;;;;;;;
104814;https://www.instagram.com/p/lAAaQErtWc/;666534548815664540_669077996;;;;;;;;;;;;;;;;;;;;;;;;;
64830;https://www.instagram.com/p/7QX6jOzdeU/;1067458290315548564_179439980;;;;;;;;;;;;;;;;;;;;;;;;;
123585;https://www.instagram.com/p/7pKhFKSrd0/;1074436239853795188_254229780;;;;;;;;;;;;;;;;;;;;;;;;;
39630;https://www.instagram.com/p/8Yv-NzI2Ar/;1087830293620154411_17102263;;;;;;;;;;;;;;;;;;;;;;;;;
119233;https://www.instagram.com/p/9WjMZBHv1i/;1105225541689998690_28801982;;;;;;;;;;;;;;;;;;;;;;;;;
43985;https://www.instagram.com/p/8FS6BNADs7/;1082354437311183675_205730013;;;;;;;;;;;;;;;;;;;;;;;;;
112107;https://www.instagram.com/p/SDfdQRG6Gc/;325241947874369948_223381767;;;;;;;;;;;;;;;;;;;;;;;;;
45912;https://www.instagram.com/p/79eY3OKptD/;1080153135595035459_36267725;;;;;;;;;;;;;;;;;;;;;;;;;
51152;https://www.instagram.com/p/7ta18pyZsh/;1075633942478560033_13509709;;;;;;;;;;;;;;;;;;;;;;;;;
122359;https://www.instagram.com/p/7-0rVZSFH0/;1080532636944323060_337444627;;;;;;;;;;;;;;;;;;;;;;;;;
55210;https://www.instagram.com/p/7i52DdjmcS/;1072674064487573266_1831050920;;;;;;;;;;;;;;;;;;;;;;;;;
6270;https://www.instagram.com/p/-8-4RdKpD6/;1134057752107847930_20852723;;;;;;;;;;;;;;;;;;;;;;;;;
95046;https://www.instagram.com/p/wesz6rKjg0/;873332459497470004_1388007701;;;;;;;;;;;;;;;;;;;;;;;;;
58752;https://www.instagram.com/p/7chbdzRzNB/;1070877834366890817_2180684555;;;;;;;;;;;;;;;;;;;;;;;;;
121465;https://www.instagram.com/p/8Qv8l8jckC/;1085578382295288066_2061335881;;;;;;;;;;;;;;;;;;;;;;;;;
13127;https://www.instagram.com/p/-eB7t6GsZH/;1125345458678056519_506726712;;;;;;;;;;;;;;;;;;;;;;;;;
88824;https://www.instagram.com/p/0sRhofGnHB/;949210699473252801_1531921691;;;;;;;;;;;;;;;;;;;;;;;;;
41601;https://www.instagram.com/p/8PtlRfrWSY/;1085286508718285976_19172904;;;;;;;;;;;;;;;;;;;;;;;;;
22196;https://www.instagram.com/p/-EZqQ7r-gy/;1118131463056779314_1503378065;;;;;;;;;;;;;;;;;;;;;;;;;
119776;https://www.instagram.com/p/9EzqdbpDwz/;1100231427177593907_54877318;;;;;;;;;;;;;;;;;;;;;;;;;
50772;https://www.instagram.com/p/7uwJR8rK9G/;1076009104967511878_454872858;;;;;;;;;;;;;;;;;;;;;;;;;
38965;https://www.instagram.com/p/8biWtSlKMp/;1088614828980085545_2223396319;;;;;;;;;;;;;;;;;;;;;;;;;
33618;https://www.instagram.com/p/88nHxJknB9/;1097924466795769981_585581179;;;;;;;;;;;;;;;;;;;;;;;;;
111912;https://www.instagram.com/p/TGgiq_FxKF/;344105541646619269_267006475;;;;;;;;;;;;;;;;;;;;;;;;;
56429;https://www.instagram.com/p/7huokdlJcv/;1072343284360451887_53656316;;;;;;;;;;;;;;;;;;;;;;;;;
18401;https://www.instagram.com/p/-PSfaGM5A3/;1121196155400851511_1335008299;;;;;;;;;;;;;;;;;;;;;;;;;
7822;https://www.instagram.com/p/-04Mt2P83c/;1131776570843712988_2135729082;;;;;;;;;;;;;;;;;;;;;;;;;
54828;https://www.instagram.com/p/7kS-PIrNG1/;1073066052917449141_1384907867;;;;;;;;;;;;;;;;;;;;;;;;;
18872;https://www.instagram.com/p/-Ol8bMJsKs/;1121000237346243244_696002479;;;;;;;;;;;;;;;;;;;;;;;;;
